host_response_time,host_response_rate,host_is_superhost,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,distance_from_syntagma
within an hour,100%,f,37.98505,23.75485,Entire home/apt,4,1.0,1.0,33.0,4.67,2.0457432366329478
within an hour,100%,f,37.968407,23.725826,Entire home/apt,3,1.0,1.0,93.0,4.79,1.120137030541673
within an hour,100%,t,37.98848,23.72224,Entire home/apt,4,1.0,1.0,48.0,4.9,1.8205233563522703
within an hour,100%,t,37.96346,23.71963,Entire home/apt,6,1.0,2.0,84.0,4.92,1.8931678845410043
,,f,37.99038,23.73268,Entire home/apt,2,1.0,1.0,80.0,4.89,1.6659811850918036
within a day,100%,f,37.98454640119587,23.72176142964173,Entire home/apt,5,1.0,2.0,46.0,4.76,1.5290305492062743
,,f,37.97749710083008,23.73940658569336,Entire home/apt,4,1.5,2.0,81.0,4.86,0.4531487969103526
within an hour,100%,t,37.97927,23.72541,Private room,2,1.5,1.0,56.0,4.86,0.9314604145160721
within an hour,100%,t,37.9766,23.72617,Entire home/apt,6,1.0,2.0,196.0,4.93,0.7749109144413429
within an hour,100%,t,37.99957,23.76444,Entire home/apt,2,1.0,1.0,47.0,4.93,3.723630413690308
within an hour,100%,t,37.99843,23.7778,Entire home/apt,3,1.0,1.0,38.0,4.78,4.542709305582024
within an hour,100%,t,37.99902,23.72366,Private room,1,1.0,1.0,18.0,4.67,2.7946636015144097
within an hour,100%,f,38.00405,23.72923,Entire home/apt,4,1.0,2.0,28.0,4.58,3.2132664973413325
within an hour,100%,f,37.97878,23.7458,Entire home/apt,2,1.0,1.0,75.0,4.65,1.0226352669977943
a few days or more,0%,f,37.98262,23.71893,Entire home/apt,3,1.5,2.0,90.0,4.94,1.6081234351635134
,,f,37.96646,23.71487,Entire home/apt,2,1.0,2.0,125.0,4.94,2.0231636122969796
,,f,38.00366,23.72886,Entire home/apt,6,1.0,2.0,65.0,4.28,3.1756727650072523
within an hour,100%,t,37.97843,23.70829,Private room,2,1.0,1.0,37.0,4.8,2.3550199157503044
within a day,88%,f,37.95728,23.72644,Entire home/apt,2,1.0,1.0,31.0,4.92,2.1574460778341464
a few days or more,0%,f,37.98633,23.71871,Entire home/apt,3,1.0,1.0,35.0,4.84,1.8611037091539653
within an hour,100%,t,37.97825,23.75044,Entire home/apt,2,1.0,1.0,49.0,4.84,1.3959898230266903
within an hour,100%,f,37.99038,23.72867,Entire home/apt,3,0.0,2.0,53.0,4.92,1.7423464697364281
within an hour,97%,f,37.9839,23.71874,Entire home/apt,4,1.5,1.0,99.0,4.82,1.6966283085692944
within an hour,100%,f,38.00263,23.74764,Entire home/apt,4,1.0,1.0,34.0,4.79,3.216693833036446
within a few hours,100%,t,38.00282,23.73032,Entire home/apt,5,1.0,1.0,50.0,4.61,3.064246059456711
within an hour,97%,t,37.98148,23.71536,Entire home/apt,3,1.0,1.0,91.0,4.85,1.8372065857489321
within an hour,100%,t,37.96866,23.72413,Entire home/apt,3,1.0,1.0,67.0,4.89,1.2123179458901445
within an hour,100%,t,38.00363159179688,23.729759216308597,Private room,4,1.0,1.0,26.0,4.84,3.160365745176248
,,f,37.98446,23.76052,Entire home/apt,3,2.5,1.0,60.0,,2.4566107625676312
a few days or more,15%,f,37.97925,23.74328,Entire home/apt,3,1.0,1.0,128.0,,0.8446132252138695
a few days or more,15%,f,37.97863,23.74532,Entire home/apt,3,1.0,1.0,89.0,4.68,0.9773823501192694
within an hour,100%,f,37.98406,23.74162,Entire home/apt,3,1.0,1.0,149.0,4.5,1.1193229762320371
within an hour,100%,t,37.95253,23.72242,Entire home/apt,5,1.5,2.0,52.0,4.62,2.7786068467891405
within an hour,100%,t,37.97459,23.72855,Entire home/apt,2,1.0,1.0,101.0,4.85,0.5657170886308432
,,f,37.980228,23.723442,Entire home/apt,5,1.0,1.0,140.0,4.91,1.1335695710046447
within an hour,97%,t,37.98003,23.71598,Entire home/apt,2,1.0,1.0,114.0,4.91,1.7331391916433259
within a few hours,100%,f,37.96902,23.75153,Entire home/apt,2,1.0,1.0,39.0,4.63,1.626076444272758
within an hour,100%,f,37.97522,23.71841,Entire home/apt,2,1.0,1.0,37.0,4.64,1.445720569203871
within an hour,100%,f,38.01345,23.72954,Entire home/apt,4,1.0,1.0,42.0,4.8,4.245906816593862
within an hour,100%,f,37.9805,23.74463,Entire home/apt,2,1.0,1.0,58.0,4.91,1.0180467423049344
within an hour,100%,t,37.97367,23.72054,Entire home/apt,2,1.0,0.0,55.0,4.86,1.275041495333871
a few days or more,0%,f,37.99572,23.74651,Private room,2,2.0,1.0,15.0,4.78,2.4678808434831274
within an hour,100%,f,37.95789,23.72873,Entire home/apt,2,1.0,1.0,50.0,4.99,2.0314703511560155
within an hour,100%,f,37.98621,23.73071,Entire home/apt,5,1.0,2.0,53.0,4.72,1.2462339460988312
within an hour,100%,t,37.97031,23.75071,Entire home/apt,3,1.0,1.0,42.0,4.94,1.5011881585593143
within an hour,100%,f,37.99905,23.73782,Entire home/apt,4,1.0,2.0,45.0,4.89,2.6311146897851603
within an hour,100%,f,37.99934,23.7764,Entire home/apt,6,1.5,2.0,75.0,4.58,4.500527919232174
within an hour,100%,t,37.98931,23.72457,Entire home/apt,3,1.0,0.0,55.0,4.86,1.782624798971524
within an hour,100%,t,37.98675199771072,23.72030676829764,Entire home/apt,3,1.0,1.0,55.0,4.85,1.7892257327834062
within an hour,100%,f,37.97506,23.75172,Entire home/apt,2,2.0,1.0,76.0,5.0,1.4751237103524197
,,f,37.99753,23.72035,Entire home/apt,3,1.0,1.0,49.0,,2.7616401798832104
within an hour,100%,f,37.97855,23.72352,Entire home/apt,2,1.0,0.0,38.0,4.62,1.0535392591290869
within an hour,100%,f,37.98367,23.7596,Entire home/apt,2,1.0,1.0,32.0,4.65,2.347771980732869
within an hour,100%,t,37.97752,23.72251,Entire home/apt,2,1.0,1.0,65.0,4.89,1.1089790632947625
within an hour,100%,t,37.97154,23.7502,Entire home/apt,3,1.0,1.0,48.0,4.88,1.4115507699045386
within an hour,100%,t,37.98056,23.72371,Entire home/apt,4,1.0,2.0,90.0,4.94,1.1307189590465698
within an hour,100%,f,37.99025,23.72337,Entire home/apt,2,1.0,0.0,25.0,4.82,1.9264409797787514
within an hour,100%,t,37.982,23.71701,Private room,2,1.0,1.0,46.0,4.81,1.7265855403732142
within an hour,100%,t,37.97655,23.71443,Entire home/apt,4,1.0,2.0,64.0,4.92,1.7980196444918832
within a day,50%,f,38.01123,23.734,Entire home/apt,2,1.0,1.0,40.0,4.79,3.9737774501544836
within an hour,100%,t,37.9852,23.74194,Entire home/apt,3,1.0,1.0,55.0,4.85,1.2426116849331352
within an hour,100%,t,37.9992,23.72409,Entire home/apt,3,1.0,1.0,35.0,4.83,2.800430721287014
